subject,Subject_ID,Recogn1,Recogn2,Recogn3,Discomf1,Discomf2,Discomf3,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,SS
1,S2,0,1,1,1,1,1,3,4,4,3,4,2,4,4,3,3,2,4,1,4,4,2,2,3,3,3,4,4,4,3,2,1,2,2,1,1,2,1,1,2,1,2,1,2,1,2,
2,S3,1,0,1,7,1,1,2,4,3,1,1,2,1,3,3,2,2,2,1,2,2,2,1,1,1,2,3,3,1,1,1,1,2,1,1,2,1,2,1,2,2,2,2,1,1,2,
3,S4,1,1,0,1,1,4,4,3,2,1,1,2,1,4,3,1,1,3,1,1,1,1,1,2,1,2,4,4,3,2,1,1,2,2,1,2,1,1,2,2,1,1,2,2,1,2,
4,S5,1,1,1,7,4,2,1,2,1,2,4,3,2,3,4,4,2,2,2,4,4,4,1,2,2,4,2,1,2,3,2,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,
5,S6,1,0,1,3,1,2,3,2,3,2,2,1,2,3,3,3,2,3,2,3,3,4,2,3,3,3,4,2,2,2,2,1,2,2,1,1,1,1,1,2,2,1,2,2,1,1,
6,S8,0,1,0,1,1,1,4,3,1,1,1,4,2,1,4,1,2,3,4,2,4,3,1,2,2,2,4,2,3,3,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,
7,S9,0,1,0,1,1,1,3,1,3,1,2,2,2,3,4,3,3,2,4,2,1,2,1,3,1,3,3,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,1,
8,S10,1,0,1,3,2,2,4,3,2,1,1,3,1,2,3,2,1,3,2,3,2,1,1,1,1,3,3,1,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,
9,S11,1,1,0,4,6,2,1,2,3,1,4,3,1,4,,,,,,,,,,,,,,,,,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,
10,S13,0,1,1,1,2,3,3,2,2,2,2,3,2,1,3,1,1,1,3,3,2,3,1,2,2,2,3,2,3,2,1,1,2,2,2,2,2,2,1,1,1,1,2,2,1,1,
11,S15,0,1,1,1,1,1,2,3,3,2,2,3,2,2,4,2,2,3,3,3,2,2,2,2,2,3,3,3,2,3,2,2,2,1,1,2,1,1,1,2,2,1,2,1,1,2,
12,S16,0,0,1,5,3,1,1,2,2,2,1,2,2,2,2,3,2,3,3,2,3,3,3,2,3,2,3,3,2,3,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,
13,S19,1,1,0,1,1,1,3,4,2,1,1,2,1,3,3,2,4,1,1,1,3,1,2,1,3,2,3,4,1,4,1,2,2,2,1,2,1,2,2,2,1,2,1,1,1,2,
14,S20,0,1,1,3,5,5,2,3,3,1,1,2,2,3,3,2,2,2,1,1,2,2,1,1,1,3,4,4,2,2,,,,,,,,,,,,,,,,,
15,S23,1,0,1,3,1,6,2,1,3,2,1,3,4,2,3,3,1,2,2,3,3,3,3,4,3,2,4,2,4,2,1,1,2,2,1,2,2,2,1,1,2,2,2,1,1,2,
16,S25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,S27,1,1,0,2,4,1,2,4,2,1,2,2,1,2,2,2,4,1,1,1,1,2,3,1,1,2,3,3,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,2,1,2,
18,S31,1,0,1,2,4,6,2,2,3,1,1,1,1,3,3,2,1,1,2,2,3,2,1,1,1,3,2,3,1,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,
19,S32,1,,1,5,5,5,2,1,1,1,1,1,1,4,2,1,1,4,1,1,1,1,1,2,1,1,1,1,1,4,2,2,2,2,2,1,2,2,1,1,2,1,2,2,1,1,
20,S33,1,0,1,4,2,3,2,4,2,1,2,2,2,3,3,3,2,2,2,2,3,3,1,3,1,2,4,3,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,2,2,
21,S34,1,0,1,1,1,2,4,1,1,1,2,1,1,1,2,1,3,2,3,2,2,4,1,1,3,1,2,1,1,3,1,1,2,1,2,2,1,2,1,1,1,2,1,2,1,2,
22,S35,1,0,1,1,1,1,2,1,2,2,3,3,2,3,4,3,2,2,3,3,3,3,1,2,2,3,3,3,2,2,1,1,2,2,1,2,1,1,1,1,2,1,2,2,2,2,
23,S36,1,0,1,3,1,1,4,2,3,2,1,4,3,3,2,3,2,3,3,3,4,4,1,2,2,2,4,1,3,3,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,2,
24,S37,1,1,0,5,5,1,3,3,3,1,3,2,1,3,3,3,2,3,2,3,3,2,1,1,1,3,4,3,1,1,1,1,2,1,1,1,2,2,2,1,2,2,2,1,2,1,
25,S38,0,1,0,2,2,4,2,2,2,1,2,2,3,2,4,4,4,3,1,3,4,4,4,3,1,4,4,3,4,2,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,
26,S39,1,0,1,1,1,1,2,3,3,1,2,2,2,2,3,4,4,3,4,3,4,4,1,2,2,2,2,1,2,3,1,1,2,1,1,2,1,1,1,2,2,1,1,2,2,2,
27,S40,1,1,0,2,2,1,1,4,2,2,2,2,1,3,4,4,3,1,3,2,4,3,3,1,1,3,4,3,2,1,2,2,2,1,1,2,1,1,2,2,2,1,2,1,2,1,
28,S41,1,0,1,5,3,5,1,2,1,1,1,3,1,3,3,3,1,3,1,4,3,2,1,1,1,3,4,3,1,1,2,2,2,2,1,1,1,1,1,2,2,1,2,1,2,2,
29,S42,0,1,0,1,3,1,4,4,1,1,3,4,1,4,2,1,3,2,1,1,1,1,1,2,1,2,2,4,2,1,1,1,2,2,1,2,1,1,1,1,2,2,2,2,1,2,
30,S44,1,1,0,1,5,1,2,4,3,1,1,2,3,4,4,3,1,3,1,1,1,1,3,2,1,2,2,4,1,1,1,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,